日期,收盘点位,股权风险溢价,+2倍标准差,+1倍标准差,中位数,-1倍标准差,-2倍标准差
2014-05-22,2763.34,0.0443,0.0529,0.0322,0.0114,-0.0094,-0.0302
2014-05-23,2789.86,0.0439,0.0530,0.0322,0.0114,-0.0094,-0.0302
2014-05-26,2812.25,0.0433,0.0530,0.0322,0.0114,-0.0094,-0.0302
2014-05-27,2801.61,0.0436,0.0530,0.0322,0.0114,-0.0094,-0.0302
2014-05-28,2833.39,0.0429,0.0530,0.0322,0.0114,-0.0094,-0.0302
2014-05-29,2807.80,0.0437,0.0530,0.0322,0.0114,-0.0094,-0.0303
2014-05-30,2812.16,0.0442,0.0530,0.0322,0.0114,-0.0095,-0.0303
2014-06-03,2805.94,0.0447,0.0531,0.0322,0.0114,-0.0095,-0.0303
2014-06-04,2781.95,0.0454,0.0531,0.0322,0.0114,-0.0095,-0.0303
2014-06-05,2814.33,0.0444,0.0531,0.0322,0.0114,-0.0095,-0.0303
2014-06-06,2800.26,0.0445,0.0531,0.0323,0.0114,-0.0095,-0.0304
2014-06-09,2791.17,0.0445,0.0531,0.0323,0.0114,-0.0095,-0.0304
2014-06-10,2826.07,0.0436,0.0532,0.0323,0.0114,-0.0095,-0.0304
2014-06-11,2834.22,0.0434,0.0532,0.0323,0.0114,-0.0095,-0.0304
2014-06-12,2827.94,0.0435,0.0532,0.0323,0.0114,-0.0095,-0.0304
2014-06-13,2858.13,0.0425,0.0532,0.0323,0.0114,-0.0095,-0.0305
2014-06-16,2877.47,0.0425,0.0532,0.0323,0.0114,-0.0095,-0.0305
2014-06-17,2850.28,0.0434,0.0533,0.0323,0.0114,-0.0096,-0.0305
2014-06-18,2834.03,0.0439,0.0533,0.0323,0.0114,-0.0096,-0.0305
2014-06-19,2773.13,0.0456,0.0533,0.0323,0.0114,-0.0096,-0.0305
2014-06-20,2793.45,0.0452,0.0533,0.0323,0.0114,-0.0096,-0.0306
2014-06-23,2806.46,0.0449,0.0533,0.0324,0.0114,-0.0096,-0.0306
2014-06-24,2823.21,0.0445,0.0534,0.0324,0.0114,-0.0096,-0.0306
2014-06-25,2809.01,0.0448,0.0534,0.0324,0.0114,-0.0096,-0.0306
2014-06-26,2839.68,0.0441,0.0534,0.0324,0.0114,-0.0096,-0.0306
2014-06-27,2851.29,0.0441,0.0534,0.0324,0.0114,-0.0096,-0.0307
2014-06-30,2875.34,0.0434,0.0534,0.0324,0.0114,-0.0096,-0.0307
2014-07-01,2884.27,0.0430,0.0534,0.0324,0.0114,-0.0097,-0.0307
2014-07-02,2897.54,0.0422,0.0535,0.0324,0.0114,-0.0097,-0.0307
2014-07-03,2914.80,0.0416,0.0535,0.0324,0.0114,-0.0097,-0.0307
2014-07-04,2911.08,0.0415,0.0535,0.0324,0.0114,-0.0097,-0.0307
2014-07-07,2909.62,0.0420,0.0535,0.0324,0.0114,-0.0097,-0.0308
2014-07-08,2923.69,0.0417,0.0535,0.0325,0.0114,-0.0097,-0.0308
2014-07-09,2880.61,0.0427,0.0535,0.0325,0.0114,-0.0097,-0.0308
2014-07-10,2876.90,0.0430,0.0536,0.0325,0.0114,-0.0097,-0.0308
2014-07-11,2892.87,0.0427,0.0536,0.0325,0.0114,-0.0097,-0.0308
2014-07-14,2927.80,0.0418,0.0536,0.0325,0.0114,-0.0097,-0.0308
2014-07-15,2925.13,0.0415,0.0536,0.0325,0.0114,-0.0097,-0.0309
2014-07-16,2907.06,0.0412,0.0536,0.0325,0.0114,-0.0097,-0.0309
2014-07-17,2890.52,0.0412,0.0536,0.0325,0.0114,-0.0098,-0.0309
2014-07-18,2897.00,0.0407,0.0537,0.0325,0.0114,-0.0098,-0.0309
2014-07-21,2894.52,0.0409,0.0537,0.0325,0.0114,-0.0098,-0.0309
2014-07-22,2931.31,0.0403,0.0537,0.0325,0.0114,-0.0098,-0.0309
2014-07-23,2919.56,0.0402,0.0537,0.0325,0.0114,-0.0098,-0.0309
2014-07-24,2938.45,0.0395,0.0537,0.0325,0.0114,-0.0098,-0.0310
2014-07-25,2967.13,0.0390,0.0537,0.0326,0.0114,-0.0098,-0.0310
2014-07-28,3035.29,0.0371,0.0538,0.0326,0.0114,-0.0098,-0.0310
2014-07-29,3057.03,0.0367,0.0538,0.0326,0.0114,-0.0098,-0.0310
2014-07-30,3058.97,0.0366,0.0538,0.0327,0.0115,-0.0097,-0.0309
2014-07-31,3089.05,0.0361,0.0539,0.0327,0.0115,-0.0097,-0.0309
2014-08-01,3058.65,0.0368,0.0540,0.0328,0.0116,-0.0096,-0.0308
2014-08-04,3111.22,0.0357,0.0540,0.0328,0.0116,-0.0096,-0.0308
2014-08-05,3118.93,0.0355,0.0541,0.0329,0.0117,-0.0096,-0.0308
2014-08-06,3122.62,0.0357,0.0541,0.0329,0.0117,-0.0095,-0.0307
2014-08-07,3086.34,0.0366,0.0542,0.0329,0.0117,-0.0095,-0.0307
2014-08-08,3100.81,0.0361,0.0542,0.0330,0.0118,-0.0094,-0.0307
2014-08-11,3146.77,0.0349,0.0543,0.0330,0.0118,-0.0094,-0.0306
2014-08-12,3150.05,0.0350,0.0543,0.0331,0.0118,-0.0094,-0.0306
2014-08-13,3151.46,0.0353,0.0543,0.0331,0.0118,-0.0094,-0.0306
2014-08-14,3129.17,0.0364,0.0543,0.0331,0.0119,-0.0094,-0.0306
2014-08-15,3162.78,0.0357,0.0544,0.0331,0.0119,-0.0094,-0.0306
2014-08-18,3196.87,0.0349,0.0544,0.0331,0.0119,-0.0094,-0.0306
2014-08-19,3203.57,0.0347,0.0544,0.0332,0.0119,-0.0093,-0.0306
2014-08-20,3197.24,0.0348,0.0544,0.0332,0.0119,-0.0093,-0.0306
2014-08-21,3192.98,0.0349,0.0545,0.0332,0.0120,-0.0093,-0.0305
2014-08-22,3212.50,0.0345,0.0545,0.0332,0.0120,-0.0093,-0.0305
2014-08-25,3186.19,0.0353,0.0545,0.0333,0.0120,-0.0093,-0.0305
2014-08-26,3143.27,0.0365,0.0546,0.0333,0.0120,-0.0092,-0.0305
2014-08-27,3153.17,0.0368,0.0546,0.0333,0.0121,-0.0092,-0.0305
2014-08-28,3128.23,0.0377,0.0546,0.0333,0.0121,-0.0092,-0.0305
2014-08-29,3163.42,0.0373,0.0547,0.0334,0.0121,-0.0092,-0.0305
2014-09-01,3204.56,0.0364,0.0547,0.0334,0.0121,-0.0091,-0.0304
2014-09-02,3249.98,0.0353,0.0547,0.0334,0.0121,-0.0091,-0.0304
2014-09-03,3277.32,0.0345,0.0548,0.0335,0.0122,-0.0091,-0.0304
2014-09-04,3304.76,0.0337,0.0548,0.0335,0.0122,-0.0091,-0.0304
2014-09-05,3326.79,0.0331,0.0548,0.0335,0.0122,-0.0091,-0.0304
2014-09-09,3336.28,0.0330,0.0548,0.0335,0.0122,-0.0091,-0.0304
2014-09-10,3337.43,0.0329,0.0549,0.0336,0.0123,-0.0090,-0.0304
2014-09-11,3330.68,0.0330,0.0549,0.0336,0.0123,-0.0090,-0.0303
2014-09-12,3361.66,0.0324,0.0549,0.0336,0.0123,-0.0090,-0.0303
2014-09-15,3379.95,0.0324,0.0550,0.0337,0.0124,-0.0090,-0.0303
2014-09-16,3289.85,0.0340,0.0550,0.0337,0.0124,-0.0089,-0.0302
2014-09-17,3311.88,0.0342,0.0550,0.0337,0.0124,-0.0089,-0.0302
2014-09-18,3329.81,0.0345,0.0551,0.0338,0.0124,-0.0089,-0.0302
2014-09-19,3358.10,0.0350,0.0551,0.0338,0.0125,-0.0089,-0.0302
2014-09-22,3308.43,0.0364,0.0552,0.0338,0.0125,-0.0088,-0.0301
2014-09-23,3345.85,0.0359,0.0552,0.0339,0.0125,-0.0088,-0.0301
2014-09-24,3396.85,0.0344,0.0552,0.0339,0.0126,-0.0088,-0.0301
2014-09-25,3394.84,0.0347,0.0553,0.0339,0.0126,-0.0087,-0.0301
2014-09-26,3403.22,0.0344,0.0553,0.0340,0.0126,-0.0087,-0.0300
2014-09-29,3428.75,0.0343,0.0553,0.0340,0.0126,-0.0087,-0.0300
2014-09-30,3444.72,0.0340,0.0553,0.0340,0.0127,-0.0087,-0.0300
