日期,全A点位,股权风险溢价,+2σ,+1σ,中位数,-1σ,-2σ
2014-01-02,2900.63,0.034579,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-03,2874.32,0.034899,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-06,2803.29,0.036242,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-07,2814.1,0.036304,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-08,2825.83,0.036663,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-09,2793.5,0.037317,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-10,2758.99,0.038085,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-13,2748.42,0.038155,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-14,2788.85,0.037179,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-15,2797.39,0.037607,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-16,2798.91,0.037279,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-17,2764.64,0.037874,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-20,2746.05,0.038609,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-21,2781.52,0.03826,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-22,2849.94,0.036949,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-23,2854.23,0.037148,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-24,2882.48,0.036253,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-27,2860.21,0.037282,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-28,2859.09,0.036949,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-29,2879.79,0.036319,0.047443,0.037937,0.028431,0.018925,0.009419
2014-01-30,2856.84,0.037083,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-07,2890.7,0.036616,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-10,2965.07,0.034936,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-11,2977.54,0.034334,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-12,2999.06,0.033998,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-13,2964.7,0.034683,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-14,3002.93,0.033875,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-17,3044.69,0.032666,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-18,3024.97,0.032975,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-19,3042.6,0.032211,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-20,3005.35,0.032891,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-21,2984.67,0.033664,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-24,2955.74,0.034999,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-25,2860.97,0.037511,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-26,2873.72,0.03698,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-27,2846.49,0.037842,0.047443,0.037937,0.028431,0.018925,0.009419
2014-02-28,2877.26,0.036915,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-03,2915.71,0.035836,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-04,2912.23,0.035633,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-05,2895.41,0.035956,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-06,2901.32,0.03599,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-07,2893.16,0.03599,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-10,2792.69,0.038449,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-11,2797.95,0.038349,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-12,2799.26,0.038518,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-13,2834.67,0.037488,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-14,2819.06,0.038202,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-17,2863.74,0.037349,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-18,2869.03,0.037119,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-19,2856.79,0.037457,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-20,2795.26,0.039021,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-21,2866,0.037285,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-24,2884.39,0.036517,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-25,2883.67,0.036418,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-26,2887.8,0.036616,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-27,2851.41,0.037866,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-28,2815.04,0.038979,0.047443,0.037937,0.028431,0.018925,0.009419
2014-03-31,2801.24,0.039504,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-01,2834.97,0.038658,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-02,2841.92,0.038479,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-03,2831.17,0.038897,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-04,2860.84,0.038202,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-08,2906.99,0.037112,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-09,2922.67,0.036418,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-10,2951.85,0.035708,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-11,2943.27,0.036,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-14,2952.68,0.036297,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-15,2918.78,0.03741,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-16,2921.63,0.037808,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-17,2916.66,0.038903,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-18,2922.43,0.038538,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-21,2876.06,0.039819,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-22,2871.33,0.039819,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-23,2864.56,0.039864,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-24,2848.01,0.040531,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-25,2803.59,0.041556,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-28,2737.39,0.04347,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-29,2770.01,0.043121,0.047443,0.037937,0.028431,0.018925,0.009419
2014-04-30,2782.73,0.042949,0.047443,0.037937,0.028431,0.018925,0.009419
2014-05-05,2795.58,0.042728,0.047443,0.037937,0.028431,0.018925,0.009419
2014-05-06,2805.43,0.042855,0.047443,0.037937,0.028431,0.018925,0.009419
2014-05-07,2768.45,0.04382,0.047443,0.037937,0.028431,0.018925,0.009419
2014-05-08,2768.01,0.044171,0.047443,0.037937,0.028431,0.018925,0.009419
2014-05-09,2752.85,0.04565,0.047443,0.037937,0.028431,0.018925,0.009419
2014-05-12,2814.11,0.043873,0.047443,0.037937,0.028431,0.018925,0.009419
