日期,十年国债收益率,PE-TTM-S,全A点位,股权风险溢价,股权风险溢价分位,+2σ,+1σ,中位数,-1σ,-2σ
2014-05-22,0.0418,11.37,2763.34,0.044299,95.2,0.052931,0.032155,0.011379,-0.009396,-0.030172
2014-05-23,0.0416,11.45,2789.86,0.04391,94,0.052951,0.032165,0.011379,-0.009406,-0.030192
2014-05-26,0.0417,11.52,2812.25,0.0433,92.6,0.052969,0.032174,0.011379,-0.009416,-0.030211
2014-05-27,0.0416,11.49,2801.61,0.043618,93.4,0.052988,0.032184,0.011379,-0.009425,-0.03023
2014-05-28,0.0415,11.6,2833.39,0.042925,91.8,0.053006,0.032193,0.011379,-0.009434,-0.030248
2014-05-29,0.0412,11.53,2807.8,0.043729,93.5,0.053025,0.032202,0.011379,-0.009444,-0.030266
2014-05-30,0.0407,11.53,2812.16,0.04423,94.9,0.053045,0.032212,0.011379,-0.009453,-0.030286
2014-06-03,0.0402,11.53,2805.94,0.044732,96.1,0.053065,0.032222,0.011379,-0.009463,-0.030306
2014-06-04,0.0401,11.45,2781.95,0.045415,97.1,0.053086,0.032232,0.011379,-0.009474,-0.030327
2014-06-05,0.0403,11.56,2814.33,0.044415,95.4,0.053105,0.032242,0.011379,-0.009484,-0.030347
2014-06-06,0.0406,11.51,2800.26,0.044475,95.6,0.053125,0.032252,0.011379,-0.009493,-0.030366
2014-06-09,0.0407,11.49,2791.17,0.04452,95.7,0.053145,0.032262,0.011379,-0.009503,-0.030386
2014-06-10,0.0406,11.63,2826.07,0.043614,93,0.053164,0.032272,0.011379,-0.009513,-0.030405
2014-06-11,0.0406,11.66,2834.22,0.043401,92.4,0.053182,0.032281,0.011379,-0.009522,-0.030423
2014-06-12,0.0406,11.64,2827.94,0.043543,92.9,0.053201,0.03229,0.011379,-0.009531,-0.030442
2014-06-13,0.0408,11.76,2858.13,0.0425,90.5,0.053218,0.032299,0.011379,-0.00954,-0.030459
2014-06-16,0.0406,11.79,2877.47,0.042492,90.4,0.053235,0.032307,0.011379,-0.009549,-0.030477
2014-06-17,0.0405,11.67,2850.28,0.043431,92.5,0.053254,0.032317,0.011379,-0.009558,-0.030495
2014-06-18,0.0405,11.61,2834.03,0.043856,93.5,0.053273,0.032326,0.011379,-0.009567,-0.030514
2014-06-19,0.0404,11.39,2773.13,0.045556,97.1,0.053294,0.032337,0.011379,-0.009578,-0.030536
2014-06-20,0.0405,11.43,2793.45,0.04516,96.6,0.053315,0.032347,0.011379,-0.009589,-0.030556
2014-06-23,0.0405,11.46,2806.46,0.04494,96.3,0.053336,0.032358,0.011379,-0.009599,-0.030577
2014-06-24,0.0405,11.52,2823.21,0.044503,95.5,0.053356,0.032367,0.011379,-0.009609,-0.030597
2014-06-25,0.0406,11.47,2809.01,0.044766,96,0.053376,0.032378,0.011379,-0.009619,-0.030617
2014-06-26,0.0405,11.58,2839.68,0.044071,93.9,0.053395,0.032387,0.011379,-0.009628,-0.030636
2014-06-27,0.0405,11.58,2851.29,0.044071,93.9,0.053414,0.032397,0.011379,-0.009638,-0.030655
2014-06-30,0.0406,11.66,2875.34,0.043401,91.9,0.053432,0.032406,0.011379,-0.009647,-0.030673
2014-07-01,0.0408,11.69,2884.27,0.042989,90.9,0.05345,0.032414,0.011379,-0.009656,-0.030691
2014-07-02,0.0412,11.74,2897.54,0.042239,89.4,0.053466,0.032423,0.011379,-0.009664,-0.030707
2014-07-03,0.0415,11.79,2914.8,0.041592,88.4,0.053482,0.032431,0.011379,-0.009672,-0.030723
2014-07-04,0.0417,11.78,2911.08,0.041461,88.1,0.053498,0.032439,0.011379,-0.00968,-0.030739
2014-07-07,0.0412,11.78,2909.62,0.041961,88.9,0.053514,0.032447,0.011379,-0.009688,-0.030756
2014-07-08,0.0412,11.82,2923.69,0.041685,88.5,0.05353,0.032455,0.011379,-0.009696,-0.030772
2014-07-09,0.0413,11.66,2880.61,0.0427,90.3,0.053548,0.032463,0.011379,-0.009705,-0.030789
2014-07-10,0.0413,11.62,2876.9,0.042983,90.9,0.053565,0.032472,0.011379,-0.009714,-0.030806
2014-07-11,0.0412,11.67,2892.87,0.042729,90.4,0.053583,0.032481,0.011379,-0.009722,-0.030824
2014-07-14,0.0413,11.79,2927.8,0.041792,88.5,0.053599,0.032489,0.011379,-0.00973,-0.03084
2014-07-15,0.0416,11.79,2925.13,0.041492,87.8,0.053615,0.032497,0.011379,-0.009738,-0.030856
2014-07-16,0.0422,11.74,2907.06,0.041239,87.2,0.05363,0.032505,0.011379,-0.009746,-0.030871
2014-07-17,0.0427,11.68,2890.52,0.041159,87.1,0.053645,0.032512,0.011379,-0.009754,-0.030887
2014-07-18,0.043,11.7,2897,0.040719,86.1,0.05366,0.03252,0.011379,-0.009761,-0.030902
2014-07-21,0.043,11.68,2894.52,0.040859,86.2,0.053675,0.032527,0.011379,-0.009769,-0.030917
2014-07-22,0.0427,11.8,2931.31,0.040324,85.5,0.05369,0.032535,0.011379,-0.009776,-0.030931
2014-07-23,0.043,11.78,2919.56,0.040163,85.4,0.053704,0.032542,0.011379,-0.009783,-0.030945
2014-07-24,0.043,11.88,2938.45,0.039478,83.4,0.053717,0.032548,0.011379,-0.009789,-0.030958
2014-07-25,0.0427,11.99,2967.13,0.039036,82.3,0.053729,0.032554,0.011379,-0.009796,-0.030971
2014-07-28,0.0427,12.28,3035.29,0.037147,76.3,0.05376,0.03258,0.0114,-0.009781,-0.030961
2014-07-29,0.0428,12.34,3057.03,0.036668,75.1,0.05377,0.032585,0.0114,-0.009786,-0.030971
2014-07-30,0.0429,12.34,3058.97,0.036568,74.8,0.053847,0.032657,0.011467,-0.009723,-0.030912
2014-07-31,0.0427,12.45,3089.05,0.036081,73,0.053923,0.03273,0.011536,-0.009658,-0.030852
2014-08-01,0.0426,12.35,3058.65,0.036804,75.3,0.053972,0.032773,0.011575,-0.009624,-0.030823
2014-08-04,0.0425,12.54,3111.22,0.035726,71.6,0.054025,0.032822,0.011619,-0.009584,-0.030787
2014-08-05,0.0426,12.56,3118.93,0.035505,71,0.054068,0.032861,0.011654,-0.009553,-0.03076
2014-08-06,0.0425,12.55,3122.62,0.035665,71.5,0.054112,0.032901,0.01169,-0.009521,-0.030732
2014-08-07,0.0426,12.39,3086.34,0.036553,74.7,0.054164,0.032949,0.011734,-0.009482,-0.030697
