日期,股权风险溢价分位,全A点位,市场温度
2014-05-23,94,2789.9,49.4
2014-05-30,95,2812.2,49.8
2014-06-06,95.7,2800.3,50.1
2014-06-13,90.6,2858.1,50.9
2014-06-20,96.7,2793.4,54.9
2014-06-27,93.9,2851.3,55.6
2014-07-04,88.3,2911.1,60.8
2014-07-11,90.6,2892.9,64.4
2014-07-18,86.4,2897,66.6
2014-07-25,82.7,2967.1,69.9
2014-08-01,75.9,3058.7,73.5
2014-08-08,73.6,3100.8,76.1
2014-08-15,72.3,3162.8,78.7
2014-08-22,68.1,3212.5,80.1
2014-08-29,77.3,3163.4,78.6
2014-09-05,64.9,3326.8,81.4
2014-09-12,63.3,3361.7,82.4
2014-09-19,69.9,3358.1,82.3
2014-09-26,67.7,3403.2,82.9
2014-10-10,64.7,3482.1,83.5
2014-10-17,75,3419.3,82.7
2014-10-24,80,3350.7,81.3
2014-10-31,72.8,3510.7,83
2014-11-07,80,3511.7,83.2
2014-11-14,74,3514.6,83.6
2014-11-21,71.1,3575.9,84.3
2014-11-28,61.6,3801.6,85.6
2014-12-05,57.9,4018.9,87.1
2014-12-12,57.9,4105.9,87.3
2014-12-19,56.3,4217,88.7
2014-12-26,56.4,4210.8,88.7
2015-01-09,54.8,4257.1,87.4
2015-01-16,54.3,4349.6,87.8
2015-01-23,54.9,4368.6,87.5
2015-01-30,56.1,4287.8,86.6
2015-02-06,58.5,4184.7,85
2015-02-13,56.9,4376.2,86
2015-02-27,54.3,4540.1,87
2015-03-06,53.9,4535.5,87.1
2015-03-13,50.1,4710.9,88.7
2015-03-20,48.5,5090,92.6
2015-03-27,45.8,5256.4,94
2015-04-03,41.4,5590.9,96.4
2015-04-10,35.1,5787.2,97
2015-04-17,34.5,5958.1,97
2015-04-24,34.2,6205.2,97
2015-05-08,38.1,6094.7,96.4
2015-05-15,35.1,6384.3,96.5
2015-05-22,28.5,7026.5,96.5
2015-05-29,26.5,7047.3,97.2
2015-06-05,21,7748.4,97.2
2015-06-12,19.1,7984.4,97
2015-06-19,27.2,6943,97.2
2015-06-26,31.3,6377.1,96.2
2015-07-03,44.2,5390.7,95
2015-07-10,42.2,5386.2,90.7
2015-07-17,38.2,5691.6,89.9
2015-07-24,36.6,5940.3,90.2
2015-07-31,46.7,5380,88.7
2015-08-07,44.9,5547.1,87.8
2015-08-14,37.6,5898.6,87.9
2015-08-21,50.4,5215,87.3
2015-08-28,55.4,4764.9,81.1
2015-09-11,56.9,4657.7,78.9
2015-09-18,60,4449.2,75.8
2015-09-25,59.9,4463.5,75.4
2015-10-09,59.1,4681.4,76.1
2015-10-16,54.4,5036.5,79.3
2015-10-23,54.4,5118.8,80.9
2015-10-30,51.9,5090.6,81.6
2015-11-06,50,5401.9,83.6
2015-11-13,50.1,5445.4,85.2
2015-11-20,49.4,5592.7,85.3
2015-11-27,50.9,5306.1,85
2015-12-04,50.6,5439.6,83.9
2015-12-11,51.2,5335.8,82.1
2015-12-18,49.6,5633,81.6
2015-12-25,50.2,5716.6,81.3
2016-01-08,57.1,4874.6,75.1
2016-01-15,63.4,4421,70.1
2016-01-22,62.8,4474.6,69.4
2016-01-29,64.3,4154.9,64.3
2016-02-05,63.7,4261.1,62.5
2016-02-19,62.2,4466.2,63.4
2016-02-26,63.6,4241.6,62.3
2016-03-04,62.6,4280.6,62.7
2016-03-11,63.6,4203.9,61.8
2016-03-18,60.9,4514.2,64.9
2016-03-25,59.1,4600.6,65.9
2016-04-01,57.9,4639.6,66
2016-04-08,56.7,4640.2,66.8
2016-04-15,53.9,4799.4,69.1
2016-04-22,57.2,4573.2,65.4
2016-04-29,56.4,4564.7,63
2016-05-06,56.6,4537.6,62.2
2016-05-13,59.4,4363.1,58.5
2016-05-20,58.3,4374.2,56.3
2016-05-27,58,4378.1,55.6
2016-06-03,52.1,4597.3,58.6
2016-06-17,55.8,4538.5,59.4
2016-06-24,57.9,4506,60.5
2016-07-01,56.4,4644.6,63.2
2016-07-08,54.4,4741.8,65.1
2016-07-15,51.4,4824.9,66.4
2016-07-22,53.6,4775.5,65.9
2016-07-29,56.1,4652.7,64.2
2016-08-05,56.8,4653.3,60.2
2016-08-12,56.1,4745.2,59.4
2016-08-19,52.5,4882.4,61.8
2016-08-26,52.4,4817.6,61.1
2016-09-02,49.5,4799.6,61.2
2016-09-09,48.4,4852.1,61.7
2016-09-23,50.2,4790.9,56.3
2016-09-30,50.7,4757.4,53.2
2016-10-14,48.7,4865.2,54.5
2016-10-21,49.3,4887.9,54.8
2016-10-28,52.3,4890.6,57.2
2016-11-04,51.1,4919.6,59.4
2016-11-11,46,5012.5,61.7
2016-11-18,44.8,5022.2,64.5
2016-11-25,44.1,5096.9,64.9
2016-12-02,43.7,5030.3,66.8
2016-12-09,43.1,5006.6,64.5
2016-12-16,42.4,4827.4,62.3
2016-12-23,43.3,4786.6,58.6
2016-12-30,44.6,4787,55
2017-01-06,42.1,4850.9,48.6
2017-01-13,42.9,4741.1,44.2
2017-01-20,42.4,4711.3,41.8
2017-02-03,39.7,4748.2,40.5
2017-02-10,38.4,4842.3,41.6
2017-02-17,39.7,4831.8,42.9
2017-02-24,39.1,4930.1,46.7
2017-03-03,38.6,4888.8,50.6
2017-03-10,37.3,4894.8,50.9
2017-03-17,39.4,4923.5,51.6
2017-03-24,39.7,4962.4,51.9
2017-03-31,40.6,4863.5,51.6
2017-04-07,39.1,4970.4,52.1
2017-04-14,39.5,4901.2,54.7
2017-04-21,39.9,4768.2,51.2
2017-04-28,43.4,4718.1,49
2017-05-05,43.3,4637.7,46.9
2017-05-12,42.7,4540.5,42.6
2017-05-19,42.2,4599.6,40.8
2017-05-26,41.5,4570,38.5
2017-06-02,42.2,4536.6,37.5
2017-06-09,40.3,4674.9,38.3
2017-06-16,41.6,4661.4,36.4
2017-06-23,40.7,4708.6,37.5
2017-06-30,39.3,4772.1,37.4
2017-07-07,38.3,4808.6,40.6
2017-07-14,39.2,4781.5,41.8
2017-07-21,38.6,4754.6,43.3
2017-07-28,37.2,4790.2,45.9
2017-08-04,36.7,4782.9,48.5
2017-08-11,38.5,4720.9,48.7
2017-08-18,36.6,4845.9,49.7
2017-08-25,34.8,4887.1,49.1
2017-09-01,35.6,4972.2,50.6
2017-09-08,36.3,4993.2,52.3
2017-09-15,36.3,5010.1,55.2
2017-09-22,35.4,5001.3,56.7
2017-09-29,35.7,5002.6,51.3
2017-10-13,31.5,5100.6,50
2017-10-20,31,5036.9,46.5
2017-10-27,29.6,5109.7,45.1
2017-11-03,33.6,5003.2,47.4
2017-11-10,29.8,5145.7,48
2017-11-17,32.1,5027,51.1
2017-11-24,32.4,4973.5,52.7
