日期,股权风险溢价-分位,收盘点位,市场温度计百分比化（叠加风险溢价）
2014-05-23,0.940,2790,0.127
2014-05-30,0.949,2812,0.125
2014-06-06,0.956,2800,0.118
2014-06-13,0.905,2858,0.152
2014-06-20,0.966,2793,0.141
2014-06-27,0.938,2851,0.159
2014-07-04,0.881,2911,0.237
2014-07-11,0.904,2893,0.255
2014-07-18,0.861,2897,0.294
2014-07-25,0.823,2967,0.346
2014-08-01,0.753,3059,0.424
2014-08-08,0.728,3101,0.460
2014-08-15,0.715,3163,0.485
2014-08-22,0.670,3213,0.544
2014-08-29,0.765,3163,0.451
2014-09-05,0.636,3327,0.590
2014-09-12,0.619,3362,0.620
2014-09-19,0.687,3358,0.545
2014-09-26,0.663,3403,0.576
2014-10-10,0.631,3482,0.615
2014-10-17,0.737,3419,0.499
2014-10-24,0.790,3351,0.453
2014-10-31,0.713,3511,0.526
2014-11-07,0.789,3512,0.463
2014-11-14,0.724,3515,0.517
2014-11-21,0.693,3576,0.560
2014-11-28,0.591,3802,0.676
2014-12-05,0.551,4019,0.742
2014-12-12,0.550,4106,0.750
2014-12-19,0.531,4217,0.779
2014-12-26,0.532,4211,0.777
2015-01-09,0.514,4257,0.786
2015-01-16,0.508,4350,0.797
2015-01-23,0.513,4369,0.788
2015-01-30,0.524,4288,0.765
2015-02-06,0.548,4185,0.725
2015-02-13,0.530,4376,0.759
2015-02-27,0.502,4540,0.793
2015-03-06,0.496,4535,0.799
2015-03-13,0.467,4711,0.829
2015-03-20,0.454,5090,0.861
2015-03-27,0.425,5256,0.875
2015-04-03,0.396,5591,0.909
2015-04-10,0.363,5787,0.930
2015-04-17,0.358,5958,0.936
2015-04-24,0.354,6205,0.943
2015-05-08,0.378,6095,0.914
2015-05-15,0.356,6384,0.932
2015-05-22,0.297,7027,0.966
2015-05-29,0.275,7047,0.979
2015-06-05,0.215,7748,0.991
2015-06-12,0.194,7984,0.996
2015-06-19,0.277,6943,0.977
2015-06-26,0.318,6377,0.957
2015-07-03,0.401,5391,0.900
2015-07-10,0.392,5386,0.888
